PCD7,PCD8,OA11CD,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,LAD11NMW,PCDOASPLT
LS197NZ,LS19 7NZ,E00056750,E01011269,Leeds 011B,E02002340,Leeds 011,E08000035,Leeds,,0
LS197PB,LS19 7PB,E00056750,E01011269,Leeds 011B,E02002340,Leeds 011,E08000035,Leeds,,0
LS197EN,LS19 7EN,E00056750,E01011269,Leeds 011B,E02002340,Leeds 011,E08000035,Leeds,,0
LS197FN,LS19 7FN,E00056750,E01011269,Leeds 011B,E02002340,Leeds 011,E08000035,Leeds,,0
LS197NY,LS19 7NY,E00056750,E01011269,Leeds 011B,E02002340,Leeds 011,E08000035,Leeds,,0
LS197EL,LS19 7EL,E00056750,E01011269,Leeds 011B,E02002340,Leeds 011,E08000035,Leeds,,1
LS197PA,LS19 7PA,E00056750,E01011269,Leeds 011B,E02002340,Leeds 011,E08000035,Leeds,,0
LS197JA,LS19 7JA,E00056751,E01011272,Leeds 009D,E02002338,Leeds 009,E08000035,Leeds,,0
LS197HX,LS19 7HX,E00056751,E01011272,Leeds 009D,E02002338,Leeds 009,E08000035,Leeds,,0
LS197JB,LS19 7JB,E00056751,E01011272,Leeds 009D,E02002338,Leeds 009,E08000035,Leeds,,0
LS197JD,LS19 7JD,E00056751,E01011272,Leeds 009D,E02002338,Leeds 009,E08000035,Leeds,,0
LS197YH,LS19 7YH,E00056752,E01011273,Leeds 010B,E02002339,Leeds 010,E08000035,Leeds,,0
LS197YJ,LS19 7YJ,E00056752,E01011273,Leeds 010B,E02002339,Leeds 010,E08000035,Leeds,,0
LS197HL,LS19 7HL,E00056752,E01011273,Leeds 010B,E02002339,Leeds 010,E08000035,Leeds,,0
LS197HB,LS19 7HB,E00056752,E01011273,Leeds 010B,E02002339,Leeds 010,E08000035,Leeds,,0
LS197LX,LS19 7LX,E00056752,E01011273,Leeds 010B,E02002339,Leeds 010,E08000035,Leeds,,0
LS197ET,LS19 7ET,E00056752,E01011273,Leeds 010B,E02002339,Leeds 010,E08000035,Leeds,,0
