pcd7,pcd8,pcds,dointr,doterm,usertype,oa11,lsoa11cd,msoa11cd,ladcd,lsoa11nm,msoa11nm,ladnm,ladnmw,FID
BD100FE,BD10 0FE,BD10 0FE,201509,0,0,E00058441,E01011589,E02002368,E08000035,Leeds 039B,Leeds 039,Leeds,,149886
BD1 1JS,BD1  1JS,BD1 1JS,198001,198612,0,E00058072,E01011527,E02002425,E08000035,Leeds 096D,Leeds 096,Leeds,,148771
BD100NX,BD10 0NX,BD10 0NX,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150002
BD100PA,BD10 0PA,BD10 0PA,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150005
BD100PF,BD10 0PF,BD10 0PF,199007,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150009
BD100PH,BD10 0PH,BD10 0PH,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150011
BD100PJ,BD10 0PJ,BD10 0PJ,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150012
BD100PL,BD10 0PL,BD10 0PL,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150013
BD100PN,BD10 0PN,BD10 0PN,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150014
BD100PP,BD10 0PP,BD10 0PP,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150015
BD100PQ,BD10 0PQ,BD10 0PQ,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150016
BD100PR,BD10 0PR,BD10 0PR,199109,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150017
BD100PS,BD10 0PS,BD10 0PS,198510,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150018
BD100PT,BD10 0PT,BD10 0PT,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150019
BD100NJ,BD10 0NJ,BD10 0NJ,198001,0,0,E00058441,E01011589,E02002368,E08000035,Leeds 039B,Leeds 039,Leeds,,150378
BD100NL,BD10 0NL,BD10 0NL,198001,0,0,E00058441,E01011589,E02002368,E08000035,Leeds 039B,Leeds 039,Leeds,,150379
BD100NR,BD10 0NR,BD10 0NR,199208,0,1,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150383
BD100NS,BD10 0NS,BD10 0NS,198001,0,0,E00057706,E01011457,E02002356,E08000035,Leeds 027C,Leeds 027,Leeds,,150384
BD111AA,BD11 1AA,BD11 1AA,198001,0,0,E00058073,E01011521,E02002425,E08000035,Leeds 096B,Leeds 096,Leeds,,150642
BD111AB,BD11 1AB,BD11 1AB,198001,0,0,E00058073,E01011521,E02002425,E08000035,Leeds 096B,Leeds 096,Leeds,,150643
BD111AD,BD11 1AD,BD11 1AD,198001,0,0,E00058049,E01011521,E02002425,E08000035,Leeds 096B,Leeds 096,Leeds,,150644
BD111AE,BD11 1AE,BD11 1AE,198001,0,0,E00058049,E01011521,E02002425,E08000035,Leeds 096B,Leeds 096,Leeds,,150645
